"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 16 20:39:41 UTC 2026","Mon Feb 16 20:39:49 UTC 2026","7596","mobile-safari","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-05: Десктоп малый - проверка на небольших мониторах",""
"passed","Mon Feb 16 20:38:43 UTC 2026","Mon Feb 16 20:38:49 UTC 2026","6678","mobile-safari","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-04: Проверка валидности сгенерированного кода",""
"skipped","Mon Feb 16 20:37:24 UTC 2026","Mon Feb 16 20:37:24 UTC 2026","0","mobile-chrome","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-07: Поведение при отсутствии интернета @video @critical",""
"passed","Mon Feb 16 20:37:22 UTC 2026","Mon Feb 16 20:37:27 UTC 2026","4813","firefox","functional/widget-designs.spec.ts","Widget Designs @functional @P0","","","Design: classic - Классический дизайн",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","0","firefox","functional/edge-cases.spec.ts","Edge Cases - Даты и время @functional @P1","","","EDGE-01: Создание события с пересекающимися датами",""
"skipped","Mon Feb 16 20:37:26 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","0","chromium","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-07: Поведение при отсутствии интернета @video @critical",""
"passed","Mon Feb 16 20:38:02 UTC 2026","Mon Feb 16 20:38:09 UTC 2026","6793","chromium","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-04: Проверка валидности сгенерированного кода",""
"passed","Mon Feb 16 20:38:49 UTC 2026","Mon Feb 16 20:38:56 UTC 2026","6672","mobile-safari","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-06: Проверка наличия кнопки копирования",""
"passed","Mon Feb 16 20:38:24 UTC 2026","Mon Feb 16 20:38:31 UTC 2026","6494","webkit","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: small - Маленький размер",""
"passed","Mon Feb 16 20:38:13 UTC 2026","Mon Feb 16 20:38:20 UTC 2026","7395","mobile-chrome","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-07: Клик по кнопке копирования не вызывает ошибок",""
"passed","Mon Feb 16 20:38:14 UTC 2026","Mon Feb 16 20:38:20 UTC 2026","6419","mobile-chrome","functional/widget-generation.spec.ts","Функциональные тесты - Копирование в буфер @functional @P0","","","FUNC-08: Проверка возможности копирования через Clipboard API",""
"passed","Mon Feb 16 20:39:00 UTC 2026","Mon Feb 16 20:39:09 UTC 2026","9234","webkit","functional/widget-generation.spec.ts","Функциональные тесты - Копирование в буфер @functional @P0","","","FUNC-08: Проверка возможности копирования через Clipboard API",""
"passed","Mon Feb 16 20:38:20 UTC 2026","Mon Feb 16 20:38:27 UTC 2026","6972","mobile-chrome","functional/widget-generation.spec.ts","Функциональные тесты - Копирование в буфер @functional @P0","","","FUNC-09: Альтернативный механизм копирования (execCommand)",""
"skipped","Mon Feb 16 20:38:00 UTC 2026","Mon Feb 16 20:38:00 UTC 2026","0","webkit","functional/edge-cases.spec.ts","Edge Cases - Даты и время @functional @P1","","","EDGE-01: Создание события с пересекающимися датами",""
"passed","Mon Feb 16 20:38:01 UTC 2026","Mon Feb 16 20:38:10 UTC 2026","9014","webkit","functional/widget-designs.spec.ts","Widget Designs @functional @P0","","","Design: modern - Современный дизайн",""
"passed","Mon Feb 16 20:36:57 UTC 2026","Mon Feb 16 20:37:03 UTC 2026","6783","mobile-chrome","accessibility/a11y.spec.ts","Тесты доступности @accessibility @P2","","","A11Y-01: Страница имеет атрибут lang",""
"skipped","Mon Feb 16 20:38:57 UTC 2026","Mon Feb 16 20:38:57 UTC 2026","246","firefox","visual/responsive.spec.ts","Визуальные тесты - Адаптивность @visual @P1","","","VIS-06: Проверка скриншота ключевых элементов",""
"passed","Mon Feb 16 20:39:02 UTC 2026","Mon Feb 16 20:39:08 UTC 2026","6180","mobile-safari","smoke/basic-rendering.spec.ts","Smoke тесты - Базовое отображение @smoke @P0","","","SMOKE-01: Страница загружается с HTTP статусом 200",""
"skipped","Mon Feb 16 20:37:26 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","0","chromium","functional/edge-cases.spec.ts","Edge Cases - Граничные условия дат @functional @P2","","","EDGE-14: Событие на 29 февраля (високосный год)",""
"passed","Mon Feb 16 20:39:09 UTC 2026","Mon Feb 16 20:39:16 UTC 2026","6247","webkit","smoke/basic-rendering.spec.ts","Smoke тесты - Базовое отображение @smoke @P0","","","SMOKE-01: Страница загружается с HTTP статусом 200",""
"skipped","Mon Feb 16 20:37:59 UTC 2026","Mon Feb 16 20:37:59 UTC 2026","0","mobile-safari","functional/edge-cases.spec.ts","Edge Cases - Длина и формат данных @functional @P1","","","EDGE-06: Пустой заголовок события",""
"passed","Mon Feb 16 20:38:40 UTC 2026","Mon Feb 16 20:38:48 UTC 2026","7378","webkit","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-02: Проверка наличия формы/интерфейса генерации",""
"passed","Mon Feb 16 20:37:57 UTC 2026","Mon Feb 16 20:38:02 UTC 2026","5127","chromium","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-02: Проверка наличия формы/интерфейса генерации",""
"passed","Mon Feb 16 20:37:41 UTC 2026","Mon Feb 16 20:37:50 UTC 2026","8272","mobile-chrome","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: small - Маленький размер",""
"skipped","Mon Feb 16 20:37:21 UTC 2026","Mon Feb 16 20:37:21 UTC 2026","1","firefox","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-07: Поведение при отсутствии интернета @video @critical",""
"passed","Mon Feb 16 20:37:56 UTC 2026","Mon Feb 16 20:38:01 UTC 2026","4990","mobile-chrome","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-01: Страница содержит элементы для формирования виджета",""
"passed","Mon Feb 16 20:39:56 UTC 2026","Mon Feb 16 20:40:02 UTC 2026","5759","webkit","visual/responsive.spec.ts","Визуальные тесты - Устройства @visual @P1","","","VIS-07: iPhone 12 - полная проверка",""
"passed","Mon Feb 16 20:38:36 UTC 2026","Mon Feb 16 20:38:44 UTC 2026","7647","firefox","smoke/basic-rendering.spec.ts","Smoke тесты - Базовое отображение @smoke @P0","","","SMOKE-07: Ссылка на календарь мероприятий присутствует",""
"passed","Mon Feb 16 20:37:39 UTC 2026","Mon Feb 16 20:37:46 UTC 2026","7113","firefox","functional/widget-designs.spec.ts","Widget Sizes @functional @P1","","","Size: small - Маленький размер",""
"passed","Mon Feb 16 20:39:14 UTC 2026","Mon Feb 16 20:39:21 UTC 2026","7107","mobile-chrome","visual/responsive.spec.ts","Визуальные тесты - Ресайз @visual @P2","","","VIS-10: Изменение размера окна не ломает верстку",""
"passed","Mon Feb 16 20:37:28 UTC 2026","Mon Feb 16 20:37:36 UTC 2026","7580","mobile-chrome","functional/widget-designs.spec.ts","Widget Designs @functional @P0","","","Design: minimal - Минималистичный дизайн",""
"passed","Mon Feb 16 20:38:57 UTC 2026","Mon Feb 16 20:39:04 UTC 2026","6898","firefox","visual/responsive.spec.ts","Визуальные тесты - Ресайз @visual @P2","","","VIS-10: Изменение размера окна не ломает верстку",""
"skipped","Mon Feb 16 20:37:24 UTC 2026","Mon Feb 16 20:37:24 UTC 2026","1","mobile-chrome","functional/edge-cases.spec.ts","Edge Cases - Параллельные действия @functional @P2","","","EDGE-11: Быстрые последовательные клики",""
"passed","Mon Feb 16 20:38:18 UTC 2026","Mon Feb 16 20:38:24 UTC 2026","5508","mobile-safari","functional/widget-designs.spec.ts","Widget Color Themes @functional @P1","","","Theme: red - Красная тема",""
"passed","Mon Feb 16 20:38:01 UTC 2026","Mon Feb 16 20:38:08 UTC 2026","6930","mobile-chrome","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-03: Проверка наличия поля с кодом вставки",""
"passed","Mon Feb 16 20:38:39 UTC 2026","Mon Feb 16 20:38:46 UTC 2026","6701","webkit","functional/widget-generation.spec.ts","Функциональные тесты - Генерация виджета @functional @P0","","","FUNC-01: Страница содержит элементы для формирования виджета",""
"skipped","Mon Feb 16 20:37:26 UTC 2026","Mon Feb 16 20:37:26 UTC 2026","1","chromium","functional/edge-cases.spec.ts","Edge Cases - Сеть и синхронизация @functional @P1","","","EDGE-10: Ошибка сервера 500",""
